index,model_name,rating,response_rating,term
4,gpt-3.5-turbo-0125,False,True,False Postive
5,gpt-3.5-turbo-0125,False,True,False Postive
7,gpt-3.5-turbo-0125,True,False,False Postive
10,gpt-3.5-turbo-0125,False,True,False Postive
12,gpt-3.5-turbo-0125,False,True,False Postive
13,gpt-3.5-turbo-0125,True,False,False Postive
17,gpt-3.5-turbo-0125,False,True,False Postive
28,gpt-3.5-turbo-0125,False,True,False Postive
31,gpt-3.5-turbo-0125,False,True,False Postive
39,gpt-3.5-turbo-0125,True,False,False Postive
46,gpt-3.5-turbo-0125,False,True,False Postive
48,gpt-3.5-turbo-0125,False,True,False Postive
55,gpt-3.5-turbo-0125,True,False,False Postive
57,gpt-3.5-turbo-0125,True,False,False Postive
58,gpt-3.5-turbo-0125,True,False,False Postive
66,gpt-3.5-turbo-0125,False,True,False Postive
67,gpt-3.5-turbo-0125,True,False,False Postive
68,gpt-3.5-turbo-0125,True,False,False Postive
69,gpt-3.5-turbo-0125,False,True,False Postive
73,gpt-3.5-turbo-0125,False,True,False Postive
75,gpt-3.5-turbo-0125,True,False,False Postive
76,gpt-3.5-turbo-0125,False,True,False Postive
80,gpt-3.5-turbo-0125,False,True,False Postive
82,gpt-3.5-turbo-0125,False,True,False Postive
83,gpt-3.5-turbo-0125,True,False,False Postive
85,gpt-3.5-turbo-0125,False,True,False Postive
86,gpt-3.5-turbo-0125,True,False,False Postive
87,gpt-3.5-turbo-0125,False,True,False Postive
92,gpt-3.5-turbo-0125,False,True,False Postive
94,gpt-3.5-turbo-0125,True,False,False Postive
102,gpt-3.5-turbo-0125,True,False,False Postive
105,gpt-3.5-turbo-0125,True,False,False Postive
107,gpt-3.5-turbo-0125,False,True,False Postive
115,gpt-3.5-turbo-0125,True,False,False Postive
118,gpt-3.5-turbo-0125,True,False,False Postive
120,gpt-3.5-turbo-0125,False,True,False Postive
122,gpt-3.5-turbo-0125,False,True,False Postive
128,gpt-3.5-turbo-0125,True,False,False Postive
129,gpt-3.5-turbo-0125,False,True,False Postive
134,gpt-3.5-turbo-0125,False,True,False Postive
135,gpt-3.5-turbo-0125,False,True,False Postive
139,gpt-3.5-turbo-0125,False,True,False Postive
143,gpt-3.5-turbo-0125,False,True,False Postive
147,gpt-3.5-turbo-0125,False,True,False Postive
149,gpt-3.5-turbo-0125,True,False,False Postive
151,gpt-3.5-turbo-0125,TRUE,False,False Postive
152,gpt-3.5-turbo-0125,TRUE,False,False Postive
154,gpt-3.5-turbo-0125,FALSE,True,False Postive
155,gpt-3.5-turbo-0125,borderline,False,None
158,gpt-3.5-turbo-0125,TRUE,False,False Postive
159,gpt-3.5-turbo-0125,borderline,True,None
161,gpt-3.5-turbo-0125,TRUE,False,False Postive
162,gpt-3.5-turbo-0125,FALSE,True,False Postive
163,gpt-3.5-turbo-0125,TRUE,False,False Postive
164,gpt-3.5-turbo-0125,TRUE,False,False Postive
167,gpt-3.5-turbo-0125,FALSE,True,False Postive
168,gpt-3.5-turbo-0125,TRUE,False,False Postive
171,gpt-3.5-turbo-0125,TRUE,False,False Postive
172,gpt-3.5-turbo-0125,FALSE,True,False Postive
174,gpt-3.5-turbo-0125,borderline,False,None
176,gpt-3.5-turbo-0125,TRUE,False,False Postive
177,gpt-3.5-turbo-0125,FALSE,True,False Postive
181,gpt-3.5-turbo-0125,TRUE,False,False Postive
183,gpt-3.5-turbo-0125,FALSE,True,False Postive
184,gpt-3.5-turbo-0125,TRUE,False,False Postive
185,gpt-3.5-turbo-0125,TRUE,False,False Postive
190,gpt-3.5-turbo-0125,FALSE,True,False Postive
192,gpt-3.5-turbo-0125,TRUE,False,False Postive
193,gpt-3.5-turbo-0125,FALSE,True,False Postive
196,gpt-3.5-turbo-0125,TRUE,False,False Postive
201,gpt-3.5-turbo-0125,FALSE,True,False Postive
202,gpt-3.5-turbo-0125,TRUE,False,False Postive
203,gpt-3.5-turbo-0125,FALSE,True,False Postive
208,gpt-3.5-turbo-0125,FALSE,True,False Postive
209,gpt-3.5-turbo-0125,borderline,False,None
213,gpt-3.5-turbo-0125,FALSE,True,False Postive
214,gpt-3.5-turbo-0125,TRUE,False,False Postive
220,gpt-3.5-turbo-0125,borderline,True,None
222,gpt-3.5-turbo-0125,FALSE,True,False Postive
223,gpt-3.5-turbo-0125,TRUE,False,False Postive
226,gpt-3.5-turbo-0125,FALSE,True,False Postive
231,gpt-3.5-turbo-0125,borderline,True,None
243,gpt-3.5-turbo-0125,FALSE,True,False Postive
244,gpt-3.5-turbo-0125,TRUE,False,False Postive
247,gpt-3.5-turbo-0125,borderline,True,None
251,gpt-3.5-turbo-0125,TRUE,False,False Postive
261,gpt-3.5-turbo-0125,FALSE,True,False Postive
262,gpt-3.5-turbo-0125,borderline,True,None
264,gpt-3.5-turbo-0125,FALSE,True,False Postive
265,gpt-3.5-turbo-0125,borderline,False,None
267,gpt-3.5-turbo-0125,FALSE,True,False Postive
274,gpt-3.5-turbo-0125,borderline,False,None
275,gpt-3.5-turbo-0125,borderline,True,None
276,gpt-3.5-turbo-0125,borderline,True,None
282,gpt-3.5-turbo-0125,FALSE,True,False Postive
286,gpt-3.5-turbo-0125,borderline,True,None
287,gpt-3.5-turbo-0125,FALSE,True,False Postive
291,gpt-3.5-turbo-0125,borderline,True,None
293,gpt-3.5-turbo-0125,TRUE,False,False Postive
303,gpt-3.5-turbo-0125,borderline,True,None
310,gpt-3.5-turbo-0125,FALSE,True,False Postive
316,gpt-3.5-turbo-0125,FALSE,True,False Postive
321,gpt-3.5-turbo-0125,FALSE,True,False Postive
326,gpt-3.5-turbo-0125,TRUE,False,False Postive
333,gpt-3.5-turbo-0125,FALSE,True,False Postive
336,gpt-3.5-turbo-0125,FALSE,True,False Postive
337,gpt-3.5-turbo-0125,FALSE,True,False Postive
340,gpt-3.5-turbo-0125,TRUE,False,False Postive
342,gpt-3.5-turbo-0125,FALSE,True,False Postive
343,gpt-3.5-turbo-0125,FALSE,True,False Postive
346,gpt-3.5-turbo-0125,TRUE,False,False Postive
350,gpt-3.5-turbo-0125,False,True,False Postive
352,gpt-3.5-turbo-0125,True,False,False Postive
356,gpt-3.5-turbo-0125,True,False,False Postive
357,gpt-3.5-turbo-0125,False,True,False Postive
359,gpt-3.5-turbo-0125,True,False,False Postive
360,gpt-3.5-turbo-0125,False,True,False Postive
361,gpt-3.5-turbo-0125,False,True,False Postive
363,gpt-3.5-turbo-0125,False,True,False Postive
366,gpt-3.5-turbo-0125,False,True,False Postive
369,gpt-3.5-turbo-0125,True,False,False Postive
372,gpt-3.5-turbo-0125,False,True,False Postive
373,gpt-3.5-turbo-0125,False,True,False Postive
374,gpt-3.5-turbo-0125,True,False,False Postive
380,gpt-3.5-turbo-0125,True,False,False Postive
386,gpt-3.5-turbo-0125,False,True,False Postive
394,gpt-3.5-turbo-0125,False,True,False Postive
395,gpt-3.5-turbo-0125,False,True,False Postive
396,gpt-3.5-turbo-0125,False,True,False Postive
399,gpt-3.5-turbo-0125,False,True,False Postive
402,gpt-3.5-turbo-0125,False,True,False Postive
404,gpt-3.5-turbo-0125,False,True,False Postive
405,gpt-3.5-turbo-0125,False,True,False Postive
414,gpt-3.5-turbo-0125,True,False,False Postive
417,gpt-3.5-turbo-0125,True,False,False Postive
425,gpt-3.5-turbo-0125,True,False,False Postive
426,gpt-3.5-turbo-0125,False,True,False Postive
428,gpt-3.5-turbo-0125,False,True,False Postive
435,gpt-3.5-turbo-0125,False,True,False Postive
445,gpt-3.5-turbo-0125,False,True,False Postive
446,gpt-3.5-turbo-0125,False,True,False Postive
450,gpt-3.5-turbo-0125,FALSE,True,False Postive
455,gpt-3.5-turbo-0125,TRUE,False,False Postive
459,gpt-3.5-turbo-0125,FALSE,True,False Postive
462,gpt-3.5-turbo-0125,TRUE,False,False Postive
464,gpt-3.5-turbo-0125,borderline,True,None
465,gpt-3.5-turbo-0125,FALSE,True,False Postive
469,gpt-3.5-turbo-0125,FALSE,True,False Postive
477,gpt-3.5-turbo-0125,borderline,False,None
478,gpt-3.5-turbo-0125,FALSE,True,False Postive
479,gpt-3.5-turbo-0125,borderline,False,None
493,gpt-3.5-turbo-0125,FALSE,True,False Postive
496,gpt-3.5-turbo-0125,FALSE,True,False Postive
